         558350302 function calls (558344634 primitive calls) in 475.387 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 auth.py:572(S3SigV4PostAuth)
        1    0.000    0.000    0.000    0.000 auth.py:618(HmacV1Auth)
        1    0.000    0.000    0.000    0.000 auth.py:64(SigV2Auth)
        1    0.000    0.000    0.000    0.000 auth.py:756(HmacV1QueryAuth)
        1    0.000    0.000    0.000    0.000 auth.py:806(HmacV1PostAuth)
        1    0.000    0.000    0.765    0.765 awsrequest.py:14(<module>)
        1    0.000    0.000    0.000    0.000 awsrequest.py:213(AWSHTTPConnection)
        1    0.000    0.000    0.000    0.000 awsrequest.py:217(AWSHTTPSConnection)
        1    0.000    0.000    0.000    0.000 awsrequest.py:221(AWSHTTPConnectionPool)
        1    0.000    0.000    0.000    0.000 awsrequest.py:225(AWSHTTPSConnectionPool)
        1    0.000    0.000    0.000    0.000 awsrequest.py:317(AWSRequestPreparer)
        1    0.000    0.000    0.000    0.000 awsrequest.py:35(AWSHTTPResponse)
        1    0.000    0.000    0.000    0.000 awsrequest.py:417(AWSRequest)
        1    0.000    0.000    0.000    0.000 awsrequest.py:474(AWSPreparedRequest)
        1    0.000    0.000    0.000    0.000 awsrequest.py:51(AWSConnection)
        1    0.000    0.000    0.000    0.000 awsrequest.py:524(AWSResponse)
        1    0.000    0.000    0.000    0.000 awsrequest.py:573(_HeaderKey)
        1    0.000    0.000    0.000    0.000 awsrequest.py:591(HeadersDict)
        1    0.000    0.000    0.001    0.001 backend.py:118(__init__)
        6    0.000    0.000    0.000    0.000 backend.py:130(openssl_assert)
        1    0.000    0.000    0.000    0.000 backend.py:133(activate_builtin_random)
        2    0.000    0.000    0.000    0.000 backend.py:146(_get_osurandom_engine)
        1    0.000    0.000    0.000    0.000 backend.py:166(activate_osrandom_engine)
       36    0.000    0.000    0.000    0.000 backend.py:238(register_cipher_adapter)
        1    0.000    0.000    0.000    0.000 backend.py:245(_register_default_ciphers)
        1    0.000    0.000    0.000    0.000 backend.py:2469(GetCipherByName)
       35    0.000    0.000    0.000    0.000 backend.py:2470(__init__)
        1    0.000    0.000    0.076    0.076 backend.py:5(<module>)
        1    0.000    0.000    0.000    0.000 backend.py:97(Backend)
        1    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:1(BaseRetryBackoff)
        1    0.000    0.000    0.000    0.000 base.py:1035(__iter__)
        2    0.000    0.000    0.000    0.000 base.py:1182(name)
        1    0.000    0.000    0.000    0.000 base.py:1186(name)
        1    0.000    0.000    0.000    0.000 base.py:12(BaseRetryableChecker)
        1    0.000    0.000    0.000    0.000 base.py:141(_CipherContext)
        1    0.000    0.000    0.000    0.000 base.py:164(_AEADCipherContext)
        1    0.000    0.000    0.094    0.094 base.py:1737(is_all_dates)
        1    0.000    0.000    0.000    0.000 base.py:187(CertificateRevocationList)
        1    0.000    0.000    0.000    0.000 base.py:20(CipherAlgorithm)
        1    0.000    0.000    0.000    0.000 base.py:228(_AEADEncryptionContext)
      130    0.000    0.000    0.001    0.000 base.py:247(is_dtype)
